"","X94.6593822446049","X0.177219196974749","X0","X94.8366014415796","X94.6593822446049.1","X0.177219196974749.1","X0.1","X0.2","X1","X1.1","X7.08798357673317","Country"
"1",94.6593822446049,0.177219196974749,0,94.8366014415796,94.6593822446049,0.177219196974749,0,0,1,1,7.08798357673317,"ALA"
"2",94.6593822446049,146.271287540674,24.9572187164793,215.973451068799,69.7021635281256,121.314068824195,0.115556882537979,0.207173447354972,0.736347120330994,0.829377185802515,6.0405150542095,"AFG"
"3",94.6593822446049,52.0478479723477,41.8481791412537,104.859051075699,52.8112031033512,10.199668831094,0.399089813534962,0.570499205517929,0.557907751467089,0.195967157691379,2.65165038235092,"ALB"
"4",94.6593822446049,51.9706918680704,9.61489220775668,137.015181904919,85.0444900368482,42.3557996603137,0.0701739184963379,0.131144886421707,0.89842642134605,0.814993954050786,9.44398318925336,"DZA"
"5",94.6593822446049,0.504324612557237,0.113473037825378,95.0502338193367,94.5459092067795,0.390851574731859,0.00119382176419532,0.00238479650641811,0.998801248908089,0.775,10.0084380824132,"AND"
"6",94.6593822446049,35.9694685339434,0.835768573552494,129.793082204996,93.8236136710524,35.1336999603909,0.00643923820402444,0.0127960794046845,0.991170779338145,0.976764500349406,7.60025672753874,"AGO"
"7",94.6593822446049,3.8152393299217,0,98.4746215745266,94.6593822446049,3.8152393299217,0,0,1,1,10.268070964426,"ATG"
"8",94.6593822446049,96.2564319260892,72.3447460714389,118.571068099255,22.314636173166,23.9116858546503,0.610138267548366,0.757870649801246,0.235736127196603,0.248416499304805,1.19384241186086,"ARG"
"9",94.6593822446049,40.6241886208645,0.647322312492116,134.636248552977,94.0120599321127,39.9768663083723,0.00480793485743481,0.00956985845880481,0.993161562043376,0.984065594059406,7.17964120181374,"ARM"
"10",94.6593822446049,146.466260751709,64.1929911455263,176.932651850788,30.4663910990786,82.273269606183,0.362810314964713,0.532444333566858,0.321852840961415,0.561721649640891,4.64730748513973,"AUS"
"11",94.6593822446049,18.2427732465855,0.414751303573766,112.487404187617,94.2446309410311,17.8280219430117,0.00368709107094344,0.00734709274184104,0.995618487108842,0.977264898380985,8.4363147672697,"AUT"
"12",94.6593822446049,44.9770035043606,11.6511617293677,127.985224019598,83.0082205152372,33.3258417749929,0.0910352098737867,0.16687859209295,0.876914876760336,0.740952913231801,5.42150119744985,"AZE"
"13",94.6593822446049,17.6342915456481,0,112.293673790253,94.6593822446049,17.6342915456481,0,0,1,1,8.36554146129645,"BHS"
"14",94.6593822446049,0.344313924711909,0,95.0036961693168,94.6593822446049,0.344313924711909,0,0,1,1,10.6448611927549,"BHR"
"15",94.6593822446049,128.561809643534,0,223.221191888139,94.6593822446049,128.561809643534,0,0,1,1,14.0571023880735,"BGD"
"16",94.6593822446049,0.695170734791522,0,95.3545529793964,94.6593822446049,0.695170734791522,0,0,1,1,11.5634678767049,"BRB"
"17",94.6593822446049,2.14070315486229,0,96.8000853994672,94.6593822446049,2.14070315486229,0,0,1,1,7.92548930754297,"BLR"
"18",94.6593822446049,5.11333334566739,4.13846659464839,95.6342489956239,90.5209156499565,0.974866751018998,0.0432738965183672,0.0829578822259077,0.956280439439649,0.190651906519065,5.41956489608432,"BEL"
"19",94.6593822446049,130.212395562707,0,224.871777807312,94.6593822446049,130.212395562707,0,0,1,1,15.5882634100908,"BLZ"
"20",94.6593822446049,16.3991408943231,0,111.058523138928,94.6593822446049,16.3991408943231,0,0,1,1,12.9826775369525,"BEN"
"21",94.6593822446049,376.601182929059,44.2725476456343,426.988017528029,50.3868345989706,332.328635283424,0.103685690998877,0.18788988902273,0.532296254255794,0.882441825324872,10.9686755287675,"BTN"
"22",94.6593822446049,177.469827542766,64.561851056116,207.567358731254,30.0975311884889,112.90797648665,0.311040480790174,0.474494091292601,0.31795613361088,0.636209422468965,6.07693983917851,"BOL"
"23",94.6593822446049,30.5316564929446,14.4048078801624,110.786230857387,80.2545743644424,16.1268486127822,0.130023449382491,0.230125223425307,0.847824826883619,0.52820090572252,5.23488695308336,"BIH"
"24",94.6593822446049,10.9207225866694,5.11771340561249,100.462391425662,89.5416688389924,5.80300918105692,0.050941584537129,0.096944654748942,0.945935486961155,0.531375935521013,5.62962414678413,"BWA"
"25",94.6593822446049,193.839639911513,7.43856470643274,281.060457449685,87.2208175381721,186.40107520508,0.0264660663187186,0.0515673477909222,0.921417565485362,0.961625162377373,12.7216995439731,"BRA"
"26",94.6593822446049,37.9095152042636,0,132.568897448868,94.6593822446049,37.9095152042636,0,0,1,1,22.2293919060744,"BRN"
